Category,Fips,Metro Area2,Metro area,Number of Records,Share
25-34,42540,"Scranton--Wilkes-Barre--Hazleton, PA (42540)","Scranton--Wilkes-Barre--Hazleton, PA Metro Area",1,50.7%
25-34,42660,"Seattle-Tacoma-Bellevue, WA (42660)","Seattle-Tacoma-Bellevue, WA Metro Area",1,34.3%
25-34,42680,"Sebastian-Vero Beach, FL (42680)","Sebastian-Vero Beach, FL Metro Area",1,3.5%
25-34,42700,"Sebring, FL (42700)","Sebring, FL Metro Area",1,8.9%
25-34,43100,"Sheboygan, WI (43100)","Sheboygan, WI Metro Area",1,32.3%
25-34,43300,"Sherman-Denison, TX (43300)","Sherman-Denison, TX Metro Area",1,22.9%
25-34,43340,"Shreveport-Bossier City, LA (43340)","Shreveport-Bossier City, LA Metro Area",1,23.8%
25-34,43420,"Sierra Vista-Douglas, AZ (43420)","Sierra Vista-Douglas, AZ Metro Area",1,37.7%
25-34,43580,"Sioux City, IA-NE-SD (43580)","Sioux City, IA-NE-SD Metro Area",1,39.7%
25-34,43620,"Sioux Falls, SD (43620)","Sioux Falls, SD Metro Area",1,36.3%
25-34,43780,"South Bend-Mishawaka, IN-MI (43780)","South Bend-Mishawaka, IN-MI Metro Area",1,22.5%
25-34,43900,"Spartanburg, SC (43900)","Spartanburg, SC Metro Area",1,32.3%
25-34,44060,"Spokane-Spokane Valley, WA (44060)","Spokane-Spokane Valley, WA Metro Area",1,22.6%
25-34,44100,"Springfield, IL (44100)","Springfield, IL Metro Area",1,31.2%
25-34,44140,"Springfield, MA (44140)","Springfield, MA Metro Area",1,35.9%
25-34,44180,"Springfield, MO (44180)","Springfield, MO Metro Area",1,23.8%
25-34,44220,"Springfield, OH (44220)","Springfield, OH Metro Area",1,27.8%
25-34,44300,"State College, PA (44300)","State College, PA Metro Area",1,27.5%
25-34,44420,"Staunton-Waynesboro, VA (44420)","Staunton-Waynesboro, VA Metro Area",1,25.7%
25-34,44700,"Stockton-Lodi, CA (44700)","Stockton-Lodi, CA Metro Area",1,21.8%
25-34,44940,"Sumter, SC (44940)","Sumter, SC Metro Area",1,31.8%
25-34,45060,"Syracuse, NY (45060)","Syracuse, NY Metro Area",1,39.8%
25-34,45220,"Tallahassee, FL (45220)","Tallahassee, FL Metro Area",1,35.3%
25-34,45300,"Tampa-St. Petersburg-Clearwater, FL (45300)","Tampa-St. Petersburg-Clearwater, FL Metro Area",1,19.3%
25-34,45460,"Terre Haute, IN (45460)","Terre Haute, IN Metro Area",1,17.3%
25-34,45500,"Texarkana, TX-AR (45500)","Texarkana, TX-AR Metro Area",1,18.5%
25-34,45540,"The Villages, FL (45540)","The Villages, FL Metro Area",1,5.4%
25-34,45780,"Toledo, OH (45780)","Toledo, OH Metro Area",1,39.8%
25-34,45820,"Topeka, KS (45820)","Topeka, KS Metro Area",1,20.4%
25-34,45940,"Trenton, NJ (45940)","Trenton, NJ Metro Area",1,26.1%
25-34,46060,"Tucson, AZ (46060)","Tucson, AZ Metro Area",1,22.6%
25-34,46140,"Tulsa, OK (46140)","Tulsa, OK Metro Area",1,31.6%
25-34,46220,"Tuscaloosa, AL (46220)","Tuscaloosa, AL Metro Area",1,14.8%
25-34,46340,"Tyler, TX (46340)","Tyler, TX Metro Area",1,14.5%
25-34,46520,"Urban Honolulu, HI (46520)","Urban Honolulu, HI Metro Area",1,28.2%
25-34,46540,"Utica-Rome, NY (46540)","Utica-Rome, NY Metro Area",1,42.7%
25-34,46660,"Valdosta, GA (46660)","Valdosta, GA Metro Area",1,31.5%
25-34,46700,"Vallejo-Fairfield, CA (46700)","Vallejo-Fairfield, CA Metro Area",1,24.9%
25-34,47020,"Victoria, TX (47020)","Victoria, TX Metro Area",1,26.1%
25-34,47220,"Vineland-Bridgeton, NJ (47220)","Vineland-Bridgeton, NJ Metro Area",1,25.1%
25-34,47260,"Virginia Beach-Norfolk-Newport News, VA-NC (47260)","Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",1,34.2%
25-34,47300,"Visalia-Porterville, CA (47300)","Visalia-Porterville, CA Metro Area",1,31.4%
25-34,47380,"Waco, TX (47380)","Waco, TX Metro Area",1,13.2%
25-34,47460,"Walla Walla, WA (47460)","Walla Walla, WA Metro Area",1,32.5%
25-34,47580,"Warner Robins, GA (47580)","Warner Robins, GA Metro Area",1,26.1%
25-34,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV (47900)","Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",1,30.5%
25-34,47940,"Waterloo-Cedar Falls, IA (47940)","Waterloo-Cedar Falls, IA Metro Area",1,27.0%
25-34,48060,"Watertown-Fort Drum, NY (48060)","Watertown-Fort Drum, NY Metro Area",1,15.4%
25-34,48140,"Wausau, WI (48140)","Wausau, WI Metro Area",1,27.2%
25-34,48260,"Weirton-Steubenville, WV-OH (48260)","Weirton-Steubenville, WV-OH Metro Area",1,34.5%
25-34,48300,"Wenatchee, WA (48300)","Wenatchee, WA Metro Area",1,22.0%
25-34,48540,"Wheeling, WV-OH (48540)","Wheeling, WV-OH Metro Area",1,33.1%
25-34,48620,"Wichita, KS (48620)","Wichita, KS Metro Area",1,31.0%
25-34,48660,"Wichita Falls, TX (48660)","Wichita Falls, TX Metro Area",1,49.9%
25-34,48700,"Williamsport, PA (48700)","Williamsport, PA Metro Area",1,33.7%
25-34,48900,"Wilmington, NC (48900)","Wilmington, NC Metro Area",1,15.2%
25-34,49020,"Winchester, VA-WV (49020)","Winchester, VA-WV Metro Area",1,18.5%
25-34,49180,"Winston-Salem, NC (49180)","Winston-Salem, NC Metro Area",1,20.6%
25-34,49340,"Worcester, MA-CT (49340)","Worcester, MA-CT Metro Area",1,27.8%
25-34,49420,"Yakima, WA (49420)","Yakima, WA Metro Area",1,45.5%
25-34,49620,"York-Hanover, PA (49620)","York-Hanover, PA Metro Area",1,30.1%
25-34,49660,"Youngstown-Warren-Boardman, OH-PA (49660)","Youngstown-Warren-Boardman, OH-PA Metro Area",1,26.2%
25-34,49700,"Yuba City, CA (49700)","Yuba City, CA Metro Area",1,29.7%
25-34,49740,"Yuma, AZ (49740)","Yuma, AZ Metro Area",1,21.3%
